ticker,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_41,alpha_52,alpha_53,alpha_54,price_change
MTD,3.0682819383259914,0.016772034005777894,-0.015234747131958336,-5.253112033195021,-12093.508333333333,-0.0024207455444736235,71.01015150860874,46.650146484375,5.474776353176145,-0.5033374951131216,4.441944861984889
EFX,2.9469026548672566,0.08834577312558878,0.08520964332681397,-4.937759336099585,-12271.945833333333,0.0960470368699012,-1.641585964782854,7.469970703125,8.091278913485322,-0.5050263999570329,-1.4967594747661703
PGR,3.0,-0.01249879260630608,0.1670269672293479,-5.655601659751038,-12692.345833333333,0.15166174555951958,8.268499066228337,-7.5299835205078125,-0.38856870344308486,-0.5006325633847395,-6.979861675492869
IDXX,2.9513274336283186,-0.06610551838035394,-0.03860526244458909,-5.149377593360996,-12279.1,-0.01817767112623723,12.22592547822872,31.800018310546875,-0.6340018291953156,-0.49596536097816507,1.0267788198211418
MCK,2.936123348017621,-0.011230827452888854,0.18203739143923972,-5.199170124481328,-13189.095833333333,0.18068177039259506,16.43031877686604,-23.339996337890625,13.626970731491493,-0.4874170394545445,-2.8346359089109896
KMI,3.0807860262008733,0.051519063341922224,0.22129004212340517,-5.261410788381743,-11970.570833333333,0.20808634768639284,-0.2823614796855993,-1.4400043487548828,-1.2499821185895144,-0.5183706210654827,-0.28168584259463025
TYL,2.8761061946902653,0.03192980989885099,0.1046955626019983,-4.850622406639004,-11957.704166666666,0.1087072106496449,-13.558674503299198,19.67999267578125,-0.5693742451907682,-0.49288575354261716,6.549222046740494
HCA,3.0814977973568283,-0.1228927062303812,0.09853166994985954,-5.452282157676349,-11969.908333333333,0.10876739741720917,11.001863821224855,-18.870025634765625,-5.1931629024936505,-0.48788909331714236,0.169756075587288
IQV,2.9469026548672566,0.014951679893400531,0.15376878554652082,-4.95850622406639,-12774.075,0.1326733329625362,-2.7384182833174635,2.940032958984375,-0.1863805157531317,-0.5048107726357468,2.9661213652264684
VFC,3.0265486725663715,0.016871680434210216,0.2005112655125856,-4.282157676348548,-10815.833333333334,0.15576137803573759,-6.6988080764677695,3.0900020599365234,2.195403748754274,-0.4663183333990762,4.495419650836197
RSG,2.9669603524229076,0.07118090612738481,0.03082757212832479,-4.987551867219917,-12360.191666666668,0.012830208174879194,-0.2702191175768377,-12.900009155273438,-17.23697872392813,-0.49161670042287337,1.9933327174790196
VRSK,2.8716814159292037,0.020900248496560497,0.08105169917261373,-4.970954356846473,-11876.75,0.10094265978297552,-4.321622438175624,-0.92999267578125,-16.17189269883138,-0.49248669534958744,1.5137206801028384
PAYX,2.9690265486725664,0.07685017087647737,0.0875249627331618,-4.746887966804979,-12569.85,0.09866323548913446,-4.101905801624317,17.07000732421875,-0.6293889372517001,-0.49562814979259484,0.0
PH,3.172566371681416,-0.023552969325945857,0.07229749292578572,-5.5020746887966805,-12395.504166666668,0.09697908953255825,16.63475647330938,70.28997802734375,0.07216731886799899,-0.5216143537728208,3.023764436105536
PEAK,2.893805309734513,0.037055553392391284,0.08872410153381179,-4.54356846473029,-12140.108333333334,0.11056336807110147,-2.0681550209143356,1.3949947357177734,-1.671889741566357,-0.483546613576376,-2.1679022790000566
CTSH,2.9757709251101323,-0.00814193166338104,0.1428131901657568,-4.651452282157677,-12105.133333333333,0.15764895423499864,-5.664592671723026,-1.3500022888183594,-0.2636590315874756,-0.48945719385908165,0.016361187094325585
NTRS,2.911504424778761,0.053899774749112665,0.032199633927124396,-4.950207468879668,-12645.579166666666,0.05216184592383321,-4.803093252351032,1.5599899291992188,2.685457828310331,-0.5125806660837386,-1.9945293396486703
AKAM,2.9734513274336285,0.11823658777143721,0.11610905098321966,-4.755186721991701,-12698.558333333332,0.1310297303783166,-7.875812140618688,-2.2200164794921875,-1.59049876899785,-0.4858918734018926,5.867309396560072
AWK,3.0770925110132157,0.030571878698200824,0.1000715944423525,-5.029045643153527,-11810.991666666667,0.09836498470963066,-1.9616405719238956,-6.3599853515625,-2.5000344319117183,-0.5095095300385789,-2.495222398684865
ESS,2.84070796460177,-0.0668599374889906,0.11286810614034616,-4.597510373443983,-12262.845833333333,0.09388995905605704,-27.475480697027418,-11.309967041015625,-11.183206758941033,-0.4831974178746535,0.631020450773158
ULTA,3.1200873362445414,-0.017438254020025364,0.0674303520921428,-5.522821576763485,-12039.954166666666,0.03828044752134683,32.65370811983567,68.6700439453125,51.76358439075044,-0.5203588158088002,2.277791912156228
OTIS,3.004424778761062,-0.006749854462653493,0.03191447091638479,-5.4896265560165975,-12591.6875,0.05048923013404023,2.075842759315976,17.669998168945312,-1.5894713418317068e-05,-0.5214544573832807,3.993433301898517
MNST,2.988986784140969,0.08129307061251319,0.09125814864345348,-5.485477178423237,-12399.775,0.1126481311102466,2.7213164838510564,5.7599945068359375,-0.055740568435632354,-0.5186717478341126,0.6303760089273391
CTLT,3.0530973451327434,-0.05034546596567758,-0.04152204617667275,-4.721991701244813,-11400.45,-0.04835128653865139,-9.166988048693897,4.67999267578125,-0.2838223693708847,-0.4841852799232678,-37.43681163461077
